movies_name,category,num_voter,rating,price,year_of_release,month_of_release
POUND OF FLESH,Action & adventure,0,0.0, 14.99,2015,6
BACKCOUNTRY,Action & adventure,1,5.0, 14.99,2015,8
Last Rampage: The Escape of Gary Tison,Drama,0,0.0, 14.99,2017,9
A Lego Brickumentary,Family,7,3.6, 14.99,2015,7
BURYING THE EX,Comedy,2,3.0, 14.99,2015,6
MR. HOLMES,Drama,1,5.0, 14.99,2015,6
JU-ON : THE FINAL CURSE,Horror,0,0.0, 14.99,2015,6
BOO!,Horror,8,1.5, 14.99,2018,10
NARCOPOLIS,,0,0.0, 14.99,2015,9
THE DEVIL'S DOLLS,Horror,5,3.4, 14.99,2016,9
THEN CAME YOU,Action & adventure,9,3.2, 14.99,2019,2
LIFE AFTER FLASH,Documentary,2,5.0, 14.99,2019,3
I'M NOT HERE,Drama,2,3.0, 14.99,2019,3
الحرب الباردة,,0,0.0, 14.99,2018,12
هوارد لافكرافت والمملكة جنون,Animation,3,5.0, 14.99,2018,12
LEAVING NEVERLAND,Documentary,0,0.0, 14.99,2019,3
MEASURE OF A MAN,Comedy,2,4.0, 14.99,2018,5
الطريق الرعد,Drama,2,3.5, 14.99,2018,10
PERSON TO PERSON,Comedy,0,0.0, 14.99,2017,7
LEAVING NEVERLAND Part 2,Documentary,2,5.0, 14.99,2019,3
أفق,,2,3.0, 14.99,2018,11
بايو كافيار,Drama,1,5.0, 14.99,2018,10
وحوش وبشر,Drama,0,0.0, 14.99,2018,9
فريق خان,Documentary,2,3.0, 14.99,2018,11
ر بي جي,Documentary,0,0.0, 14.99,2018,9
SPOOKS : THE GREATER GOOD (MI-5),Action & adventure,0,0.0, 14.99,2015,5
SECOND COMING,Drama,0,0.0, 14.99,2015,6
CAREFUL WHAT YOU WISH FOR,Drama,0,0.0, 14.99,2015,5
Good Kill,Drama,0,0.0, 14.99,2015,5
BIG GAME,Action & adventure,0,0.0, 14.99,2015,5
The Cobbler,Comedy,1,1.0, 14.99,2015,3
A Royal Night Out,Comedy,0,0.0, 14.99,2015,5
SUPERFAST!,Comedy,2,5.0, 14.99,2015,4
SKIN TRADE,Action & adventure,1,5.0, 14.99,2015,4
Tom Little and The Magic Mirror,Animation,2,3.5, 14.99,2015,5
PARTISAN,Drama,0,0.0, 14.99,2015,5
